,Start,Target,StartLatitude,TargetLatitude,StartLongitude,TargetLongitude,Distance
48,"Aberdeen, Scotland","Hammerfest, Norway",57.15,70.63333333333334,-2.15,23.633333333333333,1934.422274844992
49,"Aberdeen, Scotland","Havana, Cuba",57.15,23.133333333333333,-2.15,-82.38333333333334,7293.644757960304
50,"Aberdeen, Scotland","Helsinki, Finland",57.15,60.166666666666664,-2.15,25.0,1599.135691441962
51,"Aberdeen, Scotland","Hobart, Tasmania",57.15,-42.86666666666667,-2.15,147.31666666666666,17344.498756424575
52,"Aberdeen, Scotland","Hong Kong, China",57.15,22.333333333333332,-2.15,114.18333333333334,9406.687542776855
53,"Aberdeen, Scotland","Iquique, Chile",57.15,-20.166666666666668,-2.15,-70.11666666666666,10618.849786739731
54,"Aberdeen, Scotland","Irkutsk, Russia",57.15,52.5,-2.15,104.33333333333333,6142.160722756418
55,"Aberdeen, Scotland","Jakarta, Indonesia",57.15,-6.266666666666667,-2.15,106.8,11727.45608585815
56,"Aberdeen, Scotland","Johannesburg, South Africa",57.15,-26.2,-2.15,28.066666666666666,9661.269974201554
57,"Aberdeen, Scotland","Kingston, Jamaica",57.15,17.983333333333334,-2.15,-76.81666666666666,7421.477140892459
58,"Aberdeen, Scotland","Kinshasa, Congo",57.15,-4.3,-2.15,15.283333333333333,6992.1417799999
59,"Aberdeen, Scotland","Kuala Lumpur, Malaysia",57.15,3.1333333333333333,-2.15,101.7,10545.58953236706
60,"Aberdeen, Scotland","La Paz, Bolivia",57.15,-16.45,-2.15,-68.36666666666666,10170.236297748099
61,"Aberdeen, Scotland","Leeds, England",57.15,53.75,-2.15,-1.5,380.7508286243441
62,"Aberdeen, Scotland","Lima, Peru",57.15,-12.0,-2.15,-77.03333333333333,10227.334591643512
63,"Aberdeen, Scotland","Lisbon, Portugal",57.15,38.733333333333334,-2.15,-9.15,2110.764153676145
64,"Aberdeen, Scotland","Liverpool, England",57.15,53.416666666666664,-2.15,-3.0,419.1124923106937
65,"Aberdeen, Scotland","London, England",57.15,51.53333333333333,-2.15,-0.08333333333333333,639.4040932075378
66,"Aberdeen, Scotland","Lyons, France",57.15,45.75,-2.15,4.833333333333333,1356.3386788270038
67,"Aberdeen, Scotland","Madrid, Spain",57.15,40.43333333333333,-2.15,-3.7,1862.3352192942184
68,"Aberdeen, Scotland","Manchester, England",57.15,53.5,-2.15,-2.25,406.40166087083435
69,"Aberdeen, Scotland","Manila, Philippines",57.15,14.583333333333334,-2.15,120.95,10499.883415946631
70,"Aberdeen, Scotland","Marseilles, France",57.15,43.333333333333336,-2.15,5.333333333333333,1624.5875225692853
71,"Aberdeen, Scotland","Mazatln, Mexico",57.15,23.2,-2.15,-106.41666666666667,8686.64997272805
72,"Aberdeen, Scotland","Mecca, Saudi Arabia",57.15,21.483333333333334,-2.15,39.75,5215.031084943766
73,"Aberdeen, Scotland","Melbourne, Australia",57.15,-37.78333333333333,-2.15,144.96666666666667,16783.468297469626
74,"Aberdeen, Scotland","Mexico City, Mexico",57.15,19.433333333333334,-2.15,-99.11666666666666,8622.582345645887
75,"Aberdeen, Scotland","Milan, Italy",57.15,45.45,-2.15,9.166666666666666,1517.7974411175514
76,"Aberdeen, Scotland","Montevideo, Uruguay",57.15,-34.88333333333333,-2.15,-56.166666666666664,11386.379349641164
77,"Aberdeen, Scotland","Moscow, Russia",57.15,55.75,-2.15,37.6,2421.2647285359303
78,"Aberdeen, Scotland","Munich, Germany",57.15,48.13333333333333,-2.15,11.583333333333334,1362.848812963227
79,"Aberdeen, Scotland","Nagasaki, Japan",57.15,32.8,-2.15,129.95,9073.563711876657
80,"Aberdeen, Scotland","Nagoya, Japan",57.15,35.11666666666667,-2.15,136.93333333333334,9084.024580396337
81,"Aberdeen, Scotland","Nairobi, Kenya",57.15,-1.4166666666666667,-2.15,36.916666666666664,7370.222473156401
82,"Aberdeen, Scotland","Nanjing (Nanking), China",57.15,32.05,-2.15,118.88333333333334,8687.579167195627
83,"Aberdeen, Scotland","Naples, Italy",57.15,40.833333333333336,-2.15,14.25,2163.0692481164992
84,"Aberdeen, Scotland","New Delhi, India",57.15,28.583333333333332,-2.15,77.2,6757.5323049441195
85,"Aberdeen, Scotland","Newcastle-on-Tyne, England",57.15,54.96666666666667,-2.15,-1.6166666666666667,245.3565511547499
86,"Aberdeen, Scotland","Odessa, Ukraine",57.15,46.45,-2.15,30.8,2531.4151870988585
87,"Aberdeen, Scotland","Osaka, Japan",57.15,34.53333333333333,-2.15,135.5,9096.50144025062
88,"Aberdeen, Scotland","Oslo, Norway",57.15,59.95,-2.15,10.7,808.9001066629404
